,description_x,description_y,similarity
390,breitburn energy partners l p com,atlas resource partners lp,0.06326530612244899
391,borg warner inc cm,borg warner inc,0.4795918367346939
392,vanguard value index fund admiral shares,vanguard value index inv,0.06874328678839957
393,ishares tr core s&p mcp etf,ishares core s&p mid capetf,0.19047619047619047
394,vanguard total bond market index adm,vang tot bd mkt adm,0.0748299319727891
395,energy select sector spdr etf iv,sector energy select sector spdr etf,0.14842300556586271
396,vanguard emerging markets stock index fund institutional shares,janus triton fund class t shares,0.009955201592832258
397,vanguard 500 index admiral,vanguard 500 index fund admiral shares,0.11930926216640503
398,vanguard short-term bond index fund investor shares,vanguard short term bond index admiral,0.0748299319727891
399,guggenheimbulletshares ig2017 div: 0.316,guggenheim bulletshares 2017 corporate b,0.09795918367346938
400,red hat inc com isin #us7565771026,red hat inc com isin #us6 sedol #2447218,0.08928571428571429
401,vanguard mid cap etf,vanguard index fds vanguard mid-cap etf,0.058309037900874626
402,vanguard interm-term investment-grde adm,vanguard intermediate-term investment-grade fund investor shares,0.03628117913832199
403,energy sector spdr etf,energy select sector spdr etf iv,0.14842300556586271
404,vanguard 500 index fund investor cl,vanguard 500 index fund investor class,0.4795918367346939
405,pimco income fund cl d,pimco income fd i,0.2565597667638484
406,goldman sachs mgd futures strat a,aqr managed futures i,0.06326530612244899
407,vanguard intermediate term cor etf,vanguard intermediate term cor p bond et,0.19047619047619047
408,ishares tr iboxx hi yd etf,ishares iboxx high yield corporate bond etf,0.04591836734693877
409,walt disney co,walt disney co hldg co div: 1.420,0.06326530612244899
410,af europac growth r5,american funds europacfic r5,0.06326530612244899
411,vanguard index fds value etf,vanguard value etf,0.14842300556586271
412,schwab intl equity etf,schwab international equity etf,0.1673469387755102
413,vanguard reit index fund investor shares,vanguard reit index fund,0.08163265306122448
414,alibaba group hldg adr fsponsored adr 1 adr reps 1 ord,alibaba group hldg ltd,0.018658892128279883
415,vanguard 500 index fund admira l,vanguard 500 index adm,0.14842300556586271
416,exxon mobil dda,exxon mobil corp.,0.3061224489795918
417,one liberty pptys inc com,guess inc com,0.08928571428571429
418,alphabet inc,alphabet inc cl a,0.3061224489795918
419,pimco total return r,pimco total return fund adm,0.19047619047619047
420,vang selected value,vanguard whitehall funds inc selected value portfolio,0.018658892128279883
421,interactive brokers group inc. com,interactive brokers group inc com isin #us2 sedol #b1wt4x2,0.03628117913832199
422,market vectors etf tr biotech,market vectors biotech etf,0.13265306122448978
423,vanguard sml-cap ind-adm,vanguard small-cap index adm,0.3061224489795918
424,goldman sachs mgd futures strat a,aqr aqr mngd futures strategy i,0.08163265306122448
425,nike inc cl b,nike inc-b,0.3755102040816327
426,schwab strategic tr schwab fundamental emerging mkts large c,schwab funda emg mkts large com etf,0.01396348012889366
427,vang tot bd mkt adm,vanguard total bond market idx-adm,0.08928571428571429
428,lennar corp cl a,lennar corporation,0.2193877551020408
429,dfa emerging markets core,dfa emerging mkts core eqty port instl,0.06874328678839957
430,dreamworks animation skg cl a,dreamworks animation class a,0.2565597667638484
431,ishares tr natl mun bd etf fd,ishares national muni bond etf,0.13265306122448978
432,t.rowe price new horizons-t,t. rowe price new horizons fund,0.2565597667638484
433,pimco total return fund - class r,pimco total return,0.08928571428571429
434,apple inc div: 2.080,apple inc com,0.14842300556586271
435,marathon petroleum corp div: 1.280,loews corporation div: 0.250,0.049689440993788817
436,capital world growth & income cl a,american capital world growth and income fd a,0.09795918367346938
437,american axle&mfg hldgs,american axle & mfg holdings c om,0.14842300556586271
438,vanguard fixed income secs inter term invt grade fd admiral cl,vanguard interm-term invmt-grade inv,0.018658892128279883
439,t. rowe price new income,t rowe price new income fund inc,0.14842300556586271
440,magna international inc div: 0.880,magna intl inc com,0.06326530612244899
441,wells fargo company,wells fargo & co com,0.2193877551020408
442,edison intl,edison international com,0.10787172011661807
443,teva pharmaceuticals adr,teva pharmactcl inds adr,0.2193877551020408
444,amazon com,amazon.com inc com,0.19047619047619047
445,goldman sachs strategic income instl,goldman sachs strategic income fund cl i,0.2193877551020408
446,vanguard smallcap index fund,vnguard index trust small cap idx instl,0.05380333951762523
447,nextera energy inc com div: 3.480,nextera energy inc,0.08928571428571429
448,blackrock high yld bd port cl k,blackrock hi yield bd ptf inst,0.13265306122448978
449,vanguard short-term bond index fund,vanguard bd index fd inc short term bd etf,0.03352769679300291
450,vanguard total international stock index adm,vanguard total intl stock index admiral,0.10787172011661807
451,dfa international core equity,dfa intl core eqty port instl,0.06874328678839957
452,pimco total return instl,pimco total return fund cl d,0.2193877551020408
453,general motors co.,general motors co common shares,0.09795918367346938
454,verizon communicatn,verizon communications inc. cmn,0.11930926216640503
455,vanguard total bond market index adm,vang tot bd mk is pl,0.06326530612244899
456,flextronics international com usd0.01,flextronics intl ltd ord,0.06874328678839957
457,pimco total return fund instl cl,pimco total return cl a,0.13265306122448978
458,jpmorgan core bond fund r6,jpm core bond r6,0.14842300556586271
459,zynga inc,zynga inc com,0.3755102040816327
460,pimco total return fund adm,fund: pimco total return admin,0.10787172011661807
461,immunocellular therapeutics com,immunocellular therapeutics com isin #us5 sedol #b17zl90,0.0392464678178964
462,first tr consumr stapls alphadex etf,first trust ise consumer stapl es alphadex fd,0.10787172011661807
463,vanguard ftse all world ex us small cap etf,vanguard intl equity index fds ftse all world ex usa small cap index fd etf shs,0.015444015444015448
464,blackrock high yield bond portfolio svc,blkrk hi yld bd inst,0.05380333951762523
465,ares capital corp com,ares capital corp,0.3755102040816327
466,vanguard index fds s&p 500 etf div: 3.931,vanguard index funds s&p 500 etf,0.10787172011661807
467,loomis sayles bond instl cl,loomis sayles mlti-asset inc a,0.10787172011661807
468,vanguard sml-cap ind-adm,vanguard small-cap index fund inst,0.10787172011661807
469,american funds balanced portfolio,american balanced portfolio cl a,0.13265306122448978
470,pimco total return active etf,pimco total return etf,0.2193877551020408
471,dfa emerg mkts val i,dfa emerging mkts value ptf,0.19047619047619047
472,vanguard limited-term tax-exempt fund admiral shares,vanguard limited-term tax-exempt fund,0.08928571428571429
473,vanguard small-cap index fund,vanguard small cap etf (vb),0.14842300556586271
474,oppenheimer interntl bond fund cl i,oppenheimer int'l bond class a,0.11930926216640503
475,netflix inc.,netflix com inc com,0.19047619047619047
476,allianz gi nfj div value inst,allianzgi nfj dividend value fund cl p,0.09795918367346938
477,guggenheim bric select dr index,guggenheim bric etf,0.10787172011661807
478,paccar inc com,paccar inc,0.3755102040816327
479,vanguard total bond index adm,vanguard total bond market index inv,0.14842300556586271
480,baidu inc adr fsponsored adr 1 adr reps 10 cl a ord,baidu inc sponsored adr repstg ord shares class a,0.04244897959183674
481,vanguard total bond market index admiral,vanguard total bond market idx instl pls,0.14842300556586271
482,vanguard inflation-protected securities fund admiral shares,vanguard inflation-protected secs adm,0.049689440993788817
483,visa inc com cl a,salesforce com inc,0.10787172011661807
484,vanguard small cap growth etf,vanguard index fds vanguard small cap growth vipers formerly vanguard index tr,0.0
485,omega healthcare investors inc ohi,omega hlthcare invts reit,0.10787172011661807
486,vnguard total bond market index adm,vanguard total bond market index fund institutional shares,0.0392464678178964
487,vanguard mid-cap index fund inst,vanguard mid cap index ins,0.2193877551020408
488,apple inc.,apple,0.3061224489795918
489,vanguard extended market index fund institutional,vanguard extended market idx adm,0.06326530612244899
490,activision blizzard inc,activision blizzard,0.3755102040816327
491,amedica corp com,acura pharmaceuticals inc com,0.06326530612244899
492,vanguard target retirement 2040 fund,vanguard target retirement 2040 fund investor shares,0.08163265306122448
493,blackrock strategic income i,blackrock strategic income opptys investor cl a,0.06326530612244899
494,cheniere energy inc new,cheniere energy inc,0.3755102040816327
495,pimco total return fund cl d,pimco total return a,0.1673469387755102
496,ishares msci emerging mkts etf,ishares msci emerging markets etf,0.4795918367346939
497,starbucks corp,starbucks corp.,1.0
498,ishares national amt-free muni bnd etf,ishares national amt-free muni bond etf,1.0
499,pimco total return fund instl cl,pimco total return r,0.10787172011661807
500,vanguard ttl bond mkt idx adm,vanguard total bond market index i,0.14842300556586271
501,fiat chrysler auto (netherlands),fiat chrysler automobiles nv,0.11930926216640503
502,vanguard ftse dev etf,vanguard ftse developed market s etf,0.08928571428571429
503,ishares core s&p mid cap etf,ishares s&p midcap fund,0.14842300556586271
504,van small cap index admir,"vanguard small cap index, adm",0.19047619047619047
505,spdr series trust short term high yield bond etf,ishares trust msci india index fd,0.02226345083487941
506,cohen & steers rlty,cohen & steers realty fund,0.2193877551020408
507,vanguard mid cap index,vang midcap idx adm,0.13265306122448978
508,vanguard small cap index fund - admiral,vnguard index trust small cap idx instl,0.03352769679300291
509,magna intl inc cl a,magna international inc div: 0.880,0.06874328678839957
510,us small-cap value,vbr:vanguard small-cap value etf,0.08928571428571429
511,walt disney co hldg co div: 1.420,walt disney co com,0.08163265306122448
512,accenture ltd ord,accenture,0.19047619047619047
513,phillips 66 com,phillips 66,0.3755102040816327
514,aqr managed futures strategy r6,aqr fds aqmixmanaged futures strategy fd i,0.10787172011661807
515,abbott labs,abbott laboratories div: 1.040,0.06326530612244899
516,pimco commodity real return strat d,pimco commodity real return cl d,0.3061224489795918
517,accenture plc ireland,accenture plc fclass a,0.2193877551020408
518,vanguard gnma inv,vanguard gnma fund investor share,0.08163265306122448
519,vanguard short term inflation protected,inflation-protected bonds,0.03352769679300291
520,metropolitan west tot ret bond,metwest tot rtn bd i,0.08928571428571429
521,spdr barclays high yield bond etf,spdr barclays capital high yield bond et,0.1673469387755102
522,stone energy corp,stone energy corp com,0.3755102040816327
523,vanguard extended market idx i,vanguard ext market index inst,0.14842300556586271
524,dfa international value portfolio,dfa international value i,0.19047619047619047
525,vanguard total bond market index,vanguard bond index total mkt investor,0.058309037900874626
526,vanguard dividend growth fund,vanguard div growth fd investor shrs,0.06326530612244899
527,wisdomtree investmnt,wisdomtree invts inc com,0.19047619047619047
528,intel corp com,intel corp div: 1.040,0.14842300556586271
529,spartan extended mkt index fid adv class,sptn ext mkt idx inv,0.05380333951762523
530,pimco total return fund cl d,mainstay retirement 2050 fund (class i),0.04244897959183674
531,pimco total ret fd instl,pimco total return fund adm,0.14842300556586271
532,vanguard total bond market index fund institutional plus,vanguard bond index total mkt investor,0.02040816326530612
533,accenture plc ireland,accenture,0.11930926216640503
534,qep resources inc com,gopro inc com,0.14842300556586271
535,royal dutch shell adr ea rep 2 cl a eur0.07,royal dutch shell plc adr class a,0.06874328678839957
536,clearbridge all cap value a,columbia mid cap value,0.10787172011661807
537,amazon.com,amazon.com stock fund,0.13265306122448978
538,hewlett packard ente,hewlett packard enterprise co cmn,0.10787172011661807
539,pnc financial services,pnc finl svcs group,0.10787172011661807
540,vanguard intermediate-term investment-grade fund admiral shares,vanguard interm-term invmt-grade inv,0.02857142857142857
541,pimco incm cl d,pimco income instl,0.2193877551020408
542,vanguard target retirement 2055 fund investor shares,vanguard target retire 2055,0.0392464678178964
543,mylan nv f,mylan n v com,0.3755102040816327
544,vanguard total bond market index i,vang tot bd mk is pl,0.06874328678839957
545,energy trans eqty lp div: 1.140,energy trnfr equity lp,0.08163265306122448
546,the oakmark equity & income fund,oakmark equity and income fund class i,0.08928571428571429
547,verizon communicatns com,verizon communications,0.2565597667638484
548,zoes kitchen inc com isin #us7 sedol #bl95n36,zoes kitchen inc,0.02857142857142857
549,vanguard target retirement 2050 fund investor shares,vanguard target retirement 2050 fd inv,0.09795918367346938
550,templeton glbl bond fd adv cl,templeton global macro group advisor cl,0.08163265306122448
551,vanguard ftse emerg mkts etf,vanguard intl equity index f ftse emr mkt etf,0.04591836734693877
552,baidu inc spon adr rep a,baidu inc fadr 1 adr reps 0.1 ord shs,0.06874328678839957
553,vanguard small-cap etf,vanguard crsp us small cap index,0.09795918367346938
554,wp carey inc com,w p carey and co. llc.,0.1673469387755102
555,ishares national muni bond etf,ishares s&p national amt-free muni,0.0748299319727891
556,vanguard large cap etf,vanguard crsp us large cap index,0.10787172011661807
557,texas roadhouse inc,texas roadhouse,0.3755102040816327
558,berkshire hathawayinc del cl b new,berkshire hathaway inc cl b,0.1673469387755102
559,vnguard total bond market index adm,vang tot bd mkt inst,0.06326530612244899
560,tiaa-cref lifecycle 2050 fund - premier class,fidelity advisor freedom 2050 fund - class t,0.02423469387755102
561,iridium communications inc com,iridium communications inc com isin #us7 sedol #b2qh310,0.0392464678178964
562,motley fool independence,motley fool independence fund,0.3061224489795918
563,united parcel svc inc cl b,united parcel service inc,0.1673469387755102
564,pimco income fund cl p,pimco income instl,0.2193877551020408
565,electronic arts com,electronic arts,0.3755102040816327
566,vanguard bond index fund short term portfolio,vanguard short-term bond index fund admiral shares,0.026333113890717574
567,starbucks corp.,starbucks,0.2565597667638484
568,seventy seven energy inc com,seventy seven energy inc com usd0.01,0.19047619047619047
569,allergan plc shs,allergan plc com,0.4795918367346939
570,vanguard intl equity index fds ftse pac etf,vanguard ftse pacific etf,0.0392464678178964
571,amazon com inc,amazon.com,0.3061224489795918
572,dfa us targeted value fund,dfa us targeted value portfolio institutional class,0.03628117913832199
573,sunedison inc,sunedison,0.3755102040816327
574,american cap inc builder a,capital income builder - a (12),0.06326530612244899
575,raytheon co com,raytheon co com new,0.3755102040816327
576,chevron corporation cmn,chevron corp,0.13265306122448978
577,charles schwab us reit etf,schwab strategic tr us reit et,0.08163265306122448
578,vnguard total bond market index adm,vanguard total bond market index fund institutional plus,0.04591836734693877
579,national grid plc new spon adr,national grid plc-sp adr,0.2193877551020408
580,wells fargo & co new | w001549,wells fargo & co new,0.14842300556586271
581,market vectors atm-free intermediate muni etf,market vectors atm-free interm ediate muni etf,1.0
582,merck & co inc. com,merck & co. inc,0.2565597667638484
583,vanguard whitehall funds inc selected value portfolio,vang selected value,0.018658892128279883
584,vanguard short term bond fund,vanguard short term etf,0.19047619047619047
585,ishares 1-3 yr treasury bnd et f,ishares 1-3 year treasury bond etf,0.3755102040816327
586,oppenheimer interntl growth cl i,opphmr intl growth i,0.11930926216640503
587,vanguard gnma fund admiral shares,vanguard gnma fund,0.08928571428571429
588,vanguard growth index inv,vang growth idx adm,0.1673469387755102
589,viacom inc cmn class b,viacom inc class b,0.3755102040816327
590,fid growth disc k,fidelity growth discovery fund,0.09795918367346938
591,vanguard short-term corporate bond etf,vanguard s/t corp bond etf,0.10787172011661807
592,kinder morgan inc del,kinder morgan inc com usd0.01,0.14842300556586271
593,blkrk global alloc i,blackrock global allocation i,0.1673469387755102
594,pimco total return instl,pimco tot return adm,0.2193877551020408
595,growth fund of america cl a,the growth fund of america,0.1673469387755102
596,fidelity large cap stock,dreyfus small cap stock index,0.06874328678839957
597,metlife inc com stk usd0.01,metlife inc com,0.11930926216640503
598,noble corp plc com usd0.01,noble corp plc f,0.13265306122448978
599,ellie mae inc com,ellie mae inc,0.3755102040816327
600,joy global inc com,joy global inc,0.3755102040816327
601,artisan mid cap inv,artisan mid cap investor cl,0.19047619047619047
602,las vegas sands inc.,las vegas sands corp com,0.2193877551020408
603,vanguard crsp us small cap index,vanguard crsp us small cap ind ex,1.0
604,sunoco logistics lp unit,sunoco logistics partners com lp,0.09795918367346938
605,templeton global bond cl a,tmpl global bond a,0.19047619047619047
606,helmerich &payne inc com isin #us4234521015 sedol #2420101,helmerich &payne inc com isin #us5 sedol #2420101,0.1673469387755102
607,ishares iboxx $ high yield corporate bon,ishares iboxx $ h/y cor bd etf div: 4.808,0.049689440993788817
608,occidental petrol co,occidental petroleum corp de div: 3.000,0.06326530612244899
609,deutsche x-trackers msci eafe hedged equity etf,deutsche x-trackers msci eaf,0.06326530612244899
610,twenty-first century fox inc class a,twenty-first century-cl a-wi,0.09795918367346938
611,darden restaurants inc. (united states),darden restaurants inc com,0.08163265306122448
612,fidelity investment grade,fid invst gr bd,0.10787172011661807
613,vanguard institutional index fund institutional plus shares,vang inst index plus,0.01122448979591837
614,eversource energy cmn,eversource energy com,0.6530612244897959
615,fedex corp,fedex corp delaware com,0.10787172011661807
616,emerson electric co.,emerson electric co,1.0
617,ld abt sh drtn inc i,lord abbett short duration income fd cl f,0.049689440993788817
618,glaxosmithkline plc sponsored adr adr,glaxosmithkline adr each cnv into 2 ord gbp0.25,0.0392464678178964
619,spdr nuveen barclays short term etf,spdr nuveen barclays short ter m mun,0.3755102040816327
620,deutsche large cap value fund-s,dfa u s large cap growth instl cl,0.05380333951762523
621,"energy transfer partners, l.p. cmn",energy transfer partners lp com,0.3061224489795918
622,united states oil etf,united states oil fund lp exchange-traded fund,0.0392464678178964
623,amcap fund cl a,amcap cl a,0.3061224489795918
624,ishares 20 pls year treasury bnd etf,ishares 20+ yr treasury bnd et f,0.2193877551020408
625,sector spdr tr sh ben int-enry*beo,sector spdr tr shs ben int energy,0.19047619047619047
626,vanguard index fds vanguard small cap vipers formerly vangua,vanguard small cap etf,0.01122448979591837
627,vanguard extended market index institutional class,vanguard extended market index fund admiral shares,0.09795918367346938
628,activision blizzard inc com,activision blizzard inc,0.3755102040816327
629,sodastream international ltd usd shs,sodastream international ltd com,0.2193877551020408
630,time warner inc,time warner inc new div: 1.610,0.08928571428571429
631,cypress semiconductor corp com,cypress semiconductors corp,0.3061224489795918
632,berkshire hathaway inc de cl b new,berkshire hathaway inc del cl b new,1.0
633,vanguard short-term investment-grade fund admiral shares,vanguard shortterm investgrade adm,0.049689440993788817
634,berkshire hathaway inc del cl b,berkshire hathaway inc del cl b new,0.3755102040816327
635,skechers usa inc - cl a com,skechers usa inc class a,0.2193877551020408
636,facebook inc cl-a,facebook inc cl a,1.0
637,vanguard whitehall fds high dividend yield etf shs,vanguard high divd yield etf w,0.05380333951762523
638,square inc com class a,fxcm inc com shs new,0.10787172011661807
639,af bond fd amer r6,american funds bond fund of america a,0.049689440993788817
640,arena pharmaceuticals,arena pharmaceuticals inc com,0.19047619047619047
641,ishares s&p smallcap 600 index,ishares trust core s&p small-cap etf,0.05380333951762523
642,oppenheimer developing market a,oppen developing mkts a,0.14842300556586271
643,nuveen amt free municipal income fund,cohen & steers realty income a,0.04591836734693877
644,netflix inc.,netflix.com inc,0.3061224489795918
645,berkshire hathawayinc del cl b new,berkshire hathaway cl-b new,0.19047619047619047
646,legacy texas financial group in,cardinal financial corp,0.08163265306122448
647,vanguard high yield corp fund investor share,vanguard high-yield corporate fund admiral shares,0.08928571428571429
648,southwest airlines,southwest airlns co,0.3061224489795918
649,under armour inc com class a,under armour inc-class a,0.3061224489795918
650,ellie mae com,ellie mae inc com usd0.0001,0.09795918367346938
651,vanguard smallcap index fund,vang sm cap idx inst,0.10787172011661807
652,pimco total ret fd instl,total return fund (pimco),0.0748299319727891
653,level 3 communications inc com new,bemis inc com,0.049689440993788817
654,alphabet inc. cl c,google inc. cmn class c,0.09795918367346938
655,jp morgan core bond sel,emerging markets bond fund,0.08928571428571429
656,vanguard tot stk admiral,vanguard ttl intl stk ind adm,0.10787172011661807
657,us mid-cap value,vanguard crsp us mid cap value inde etf,0.04244897959183674
658,vanguard ftse dev etf,vanguard ftse developed markets,0.13265306122448978
659,msft common stock,microsoft corp com,0.10787172011661807
660,united states oil fund ltd partnership,united states oil fund lp unit,0.13265306122448978
661,vanguard small-cap index fund admiral shares,vang sm cap idx inst,0.03352769679300291
662,vanguard star fd,vanguard star fund investor shares,0.06874328678839957
663,pim real return inst,pimco real return fund cl d,0.14842300556586271
664,pimco total ret fd instl,pim total rt inst,0.2193877551020408
665,ishares msci emerging markets,ishares inc core msci emerging mkts etf,0.09795918367346938
666,google inc class a,alphabet inc cl a,0.14842300556586271
667,vanguard ttl bond mkt idx adm,vanguard total bond market idx instl pls,0.09795918367346938
668,capital income builder - a (12),capital income builder,0.1673469387755102
669,pimco incm cl d,pimco income administrative,0.08163265306122448
670,metropolitan west total return,metwest tot rtn bd i,0.06326530612244899
671,energy transfer part lp,cheniere energy partners lp com,0.058309037900874626
672,vanguard small cap etf div: 2.113,vanguard small cap,0.08928571428571429
673,new perspective fund cl a,af new perspective a,0.13265306122448978
674,altegris futures evolution cl n,altegris futures evolution strategy n,0.19047619047619047
675,vanguard short-term corporate div: 1.585,vanguard short term corp bond etf,0.08928571428571429
676,donnelley (r.r.) & son,donnelley r r & sons,0.3061224489795918
677,dfa emerging markets value i,dfa emerging mkts value ptf,0.2565597667638484
678,harbor international,harbor fd intl fd,0.13265306122448978
679,vanguard trgt retire income fnd inv,vang target ret inc,0.058309037900874626
680,russell 2000 index (ishares),ishares tr russell 2000 etf,0.0392464678178964
681,vanguard index trust mid capitalization stk port,vanguard mid cap index investor cl,0.02857142857142857
682,astrazeneca plc spons adr,astrazeneca plc spnd adr,0.6530612244897959
683,vanguard growth,vanguard index fds vanguard growth etf,0.04591836734693877
684,now inc,now inc com,0.3755102040816327
685,anheuser-busch inbev f adr 1 adr reps 1 ord shs,anheuser busch inbev sa/nv sponsored adr isin #us03524a1088,0.02423469387755102
686,wp carey inc,w p carey and co. llc.,0.13265306122448978
687,vanguard tot stk admiral,vanguard total international stock index fund admiral shares,0.015444015444015448
688,ishares msci u k etf shs,ishares inc msci united kingdom etf,0.06874328678839957
689,graham holdings co com usd1,graham holdings co,0.1673469387755102
690,vanguard small cap index adm,van small cap index admir,0.2193877551020408
691,vanguard short-term tax-exempt fund admiral shares,vanguard short term tax exempt investor,0.06874328678839957
692,vanguard dividend appreciation etf,vanguard dividend apprec etf,0.2565597667638484
693,vanguard total bond market index adm,vanguard total bond market index fund investor shares,0.06326530612244899
694,o reilly automotive inc,o reilly automotive,0.3755102040816327
695,general electric,general electric company,0.19047619047619047
696,ge strategic fund,fidelity real estate income fd,0.05380333951762523
697,polaris industries inc,polaris inds inc com,0.19047619047619047
698,spdr barclays international etf,spdr barclays intern treasury bd et,0.11930926216640503
699,van small cap index admir,vnguard index trust small cap idx instl,0.04591836734693877
700,alcoa inc. cmn,alcoa inc,0.3061224489795918
701,retail opportunity i reit,retail opportunity invts corp com isin #us9 sedol #b28yd08,0.017006802721088433
702,oppenheimer dev markets fd class y,oppenheimer developing markets fnd y,0.09795918367346938
703,time inc new com isin #us8872281048 sedol #bmm2870,time inc new com isin #us8 sedol #bmm2870,0.1673469387755102
704,allstate corp,allstate corporation,0.2193877551020408
705,annaly capital management inc,annaly capital management inc com,0.3755102040816327
706,ishares national muni,ishares nationl amt freemuni etf,0.11930926216640503
707,vanguard total bond market idx-adm,vang tot bd mkt inst,0.0748299319727891
708,stonemor partners lp com,stonemor partners ltd partnership common units,0.049689440993788817
709,emerge energy svc lp lp,emerge energy svcs lp,0.4795918367346939
710,pimco total return fund cl d,pimco total return r,0.1673469387755102
711,dodge & cox international stock,dodge & cox international stock fund,0.3061224489795918
712,pim total rt inst,pimco tot return adm,0.13265306122448978
713,pimco income fund cl p,pimco income a,0.1673469387755102
714,vanguard shortterm investgrade adm,vang st invstgrd inv,0.0748299319727891
715,t rowe price health science fund inc,t rowe price health sciences,0.1673469387755102
716,american tower corporation isin #us0 sedol #b7fbfl2,american tower reit inc (hldg co) shs,0.02857142857142857
717,realty incm crp md pv$1. reit,realty income corp (maryland),0.08163265306122448
718,activision blizzard inc,blizzard,0.08928571428571429
719,vanguard ttl bnd mrk indx inst,vanguard total bond market idx instl pls,0.11930926216640503
720,vanguard dev markets index fd,vanguard developed markets idx,0.13265306122448978
721,the oakmark international fund - class i,oakmark intl i,0.03628117913832199
722,wisdomtree emrg mrkt hg div etf,wisdomtree tr emerging mkts high divid fd,0.08928571428571429
723,frontier communications corp c om,frontier communications corp div: 0.420,0.1673469387755102
724,ishares north american natural resources etf,ishares north ameri naturl resour etf,0.2193877551020408
725,pimco total return cl a,pimco total return fund - class r,0.13265306122448978
726,blackrock global allocation c,blackrock global allocation fund class c m/f,0.08928571428571429
727,utilities sector spdr trust shs,sector spdr utilities,0.0748299319727891
728,pimco income fund cl d,pimco income administrative,0.10787172011661807
729,baidu inc spons ads repr 0.10 ord cls a us0.00005,baidu inc sponsored adr repstg ord shares class a,0.04244897959183674
730,electronic arts inc,electronic arts inc del,0.3755102040816327
731,vanguard total bond market idx-adm,vanguard total bond market index admiral,0.2193877551020408
732,alphabet inc cl a,alphabet inc shs cl a,0.3755102040816327
733,oppenheimer developing mkts odvyxfds cl y,opp developing mkt y,0.05380333951762523
734,harris corporation,harris corporation delaware div: 2.000,0.058309037900874626
735,wisdomtree japan hedged eq,wisdomtree japan hedged equity etf,0.19047619047619047
736,pimco total return fund cl d,pimco total return admin,0.19047619047619047
737,powershares qqq nasdaq 100,powershares qqq tr div: 1.105,0.1673469387755102
738,pimco total return fund cl p,pimco total return,0.14842300556586271
739,national oilwell varco inc com,national-oilwell varco,0.1673469387755102
740,automatic data processng inc,auto data processing,0.1673469387755102
741,amazon.com inc.,amazon com inc,0.6530612244897959
742,c h robinson worldwd,c h robinson worldwide inc com new isin #us8 sedol #2116228,0.01122448979591837
743,american funds europacific growth fund class r-6,american funds europacific gr r6,0.08163265306122448
744,growth fund of america? cl 529 a,college america 529 growth fund of america cl a,0.0392464678178964
745,liberty interactive corp liberty ventures com usd0.01 cl a,liberty inter co venture ser a,0.026333113890717574
746,constellation brands inc cl a cl a,constellation brand class a,0.1673469387755102
747,fundamental invs inc f-1,fundamental investors fund cl f1,0.13265306122448978
748,ceb inc com,ceb inc,0.3755102040816327
749,e m c corp mass,emc corp mass,0.6530612244897959
750,tile shop hldg inc,tile shop hldgs inc,1.0
751,vanguard total bond index adm,vanguard total bond market index fund institutional plus,0.02857142857142857
752,ipg photonics corp del,ipg photonics corp com,0.4795918367346939
753,sector spdr energy,energy sector index spdr,0.08163265306122448
754,v f corp,v.f. corp.,0.4795918367346939
755,alphabet inc cl c,alphabet inc class c,0.4795918367346939
756,vanguard growth index fund investor shares,vanguard growth index adm,0.06326530612244899
757,powershares qqq tr div: 1.105,powershares qqq,0.09795918367346938
758,united states nat gas fund par $0.001 ltd partnership,united states natural gas etf,0.026333113890717574
759,putnam fds tr equity spectrum fund,putnam equity spectrm y,0.11930926216640503
760,american tower corporation reit,american tower corporation isin #us0 sedol #b7fbfl2,0.04591836734693877
761,vanguard short term corp bond index fund etf,vanguard s/t corp bond etf,0.06326530612244899
762,verizon communicatn,verizon communicatns com,0.3061224489795918
763,unilever plc sponsored adr new,unilever plc spon adr new,0.3061224489795918
764,pim total rt inst,pimco total return admin,0.13265306122448978
765,lululemon athletica inc com,lululemon athletica,0.19047619047619047
766,pimco total return fd cl c,pimco total return a,0.2193877551020408
767,stericycle inc com,stericycle inc,0.3755102040816327
768,alzgi nfj div val i,allianzgi nfj dividend value fund cl p,0.058309037900874626
769,dfa intl small cap value,delaware small cap core inst,0.08163265306122448
770,fidelity fds balanced fd,fid balanced k,0.13265306122448978
771,ishares russell 1000 growth etf,ishares russell 1000 gr etf,0.3755102040816327
772,ishares 20+ yr treasu bond etf div: 3.107,ishares 20+ year,0.03628117913832199
773,vanguard small-cap value etf,vbr:vanguard small-cap value etf,0.3755102040816327
774,pimco total return fund instl cl,pimco tot return adm,0.09795918367346938
775,vanguard ftse all-wld ex-u.s.smcp,vanguard intl equity index fdsftse all world ex usa small cap index fd etf shs,0.0
776,toyota motor corp sp adr rep2com,toyota motor corp sp adr rep2com isin #us8923313071 sedol #2,0.03096410978184377
777,blackrock hi yield bd ptf inst,blackrock high yld bond port class c,0.08928571428571429
778,vanguard total bond market index i,vanguard total bond market index fund investor shares,0.06326530612244899
779,goldman sachs mangd futures strategy a,aqr managed futures strategy r6,0.08163265306122448
780,sptn ext mkt idx adv,spartan extended mkt index investor cl,0.058309037900874626
781,facebook inc class a common stock,facebook inc class a,0.10787172011661807
782,vanguard crsp us mid cap index,vanguard index fds vanguard mid-cap etf,0.049689440993788817
783,prudential glbl real estate z,prudential global real estate z,0.6530612244897959
784,costco whsl corp new,costco wholesale corporation com,0.08928571428571429
